samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	-21	-32	34	17	28	6	-4	0	
1	-31	-41	29	13	24	3	-7	-3	
2	-20	-30	33	17	29	9	-3	3	
3	-25	-36	31	16	29	9	-2	3	
4	-32	-42	31	15	28	9	-3	3	
5	-24	-38	34	18	30	12	-1	7	
6	-31	-44	31	16	26	8	-5	4	
7	-23	-35	31	19	28	10	-1	6	
8	-18	-33	31	20	27	10	0	5	
9	-29	-42	26	15	23	6	-3	1	
10	-38	-50	25	12	20	2	-7	-1	
11	-33	-43	28	14	23	5	-4	3	
12	-27	-39	29	15	25	7	-2	5	
13	-32	-48	25	12	23	6	-4	3	
14	-33	-48	25	12	23	7	-4	3	
15	-36	-53	24	12	20	8	-4	2	
16	-35	-52	25	14	21	6	-4	3	
17	-45	-57	24	14	20	5	-5	2	
18	-50	-64	19	8	16	1	-8	-3	
19	-51	-67	16	7	14	-1	-8	-4	
20	-52	-69	16	6	13	-3	-10	-5	
21	-51	-69	17	5	14	-6	-8	-5	
22	-52	-70	18	3	12	-8	-10	-4	
23	-59	-78	15	1	11	-12	-11	-4	
24	-47	-64	19	7	16	-5	-6	1	
25	-52	-66	18	6	14	-2	-6	0	
26	-63	-82	13	3	6	-5	-15	-8	
27	-60	-78	15	5	10	-4	-14	-8	
28	-57	-78	15	4	9	-5	-13	-7	
29	-58	-80	13	1	6	-7	-14	-8	
30	-62	-84	9	-1	3	-11	-16	-10	
31	-52	-76	13	0	5	-12	-14	-8	
32	-54	-75	13	-2	5	-13	-15	-8	
33	-68	-89	11	-4	1	-16	-20	-12	
34	-72	-94	9	-5	0	-18	-22	-13	
35	-78	-101	7	-5	-3	-20	-25	-15	
36	-73	-100	6	-6	-2	-18	-23	-15	
37	-73	-99	5	-6	-1	-18	-23	-17	
38	-73	-95	6	-7	-3	-18	-22	-15	
39	-73	-91	8	-6	-4	-18	-19	-13	
40	-71	-93	7	-7	-4	-20	-21	-13	
41	-66	-90	5	-8	-6	-19	-23	-12	
42	-64	-83	3	-10	-3	-15	-20	-10	
43	-65	-77	5	-8	1	-11	-17	-6	
44	-63	-74	6	-6	4	-11	-15	-2	
45	-55	-64	9	-1	9	-7	-10	1	
46	-51	-59	10	-1	12	-6	-8	2	
47	-52	-61	6	-3	12	-7	-8	2	
48	-57	-66	2	-4	14	-4	-9	0	
49	-60	-67	0	-5	17	-3	-8	-1	
50	-62	-66	0	-6	19	-2	-7	2	
51	-66	-65	0	-7	23	0	-5	4	
52	-66	-64	0	-6	25	2	-6	7	
53	-60	-57	3	-2	27	5	-5	9	
54	-63	-62	3	0	29	5	-5	7	
55	-65	-67	2	1	30	6	-6	6	
56	-68	-70	-1	0	31	6	-5	5	
57	-61	-66	-4	-1	32	8	-2	6	
58	-56	-64	-7	-2	31	6	-2	7	
59	-57	-65	-10	-5	29	2	-2	6	
60	-60	-70	-15	-8	24	2	-5	4	
61	-56	-67	-16	-7	21	3	-4	4	
62	-51	-66	-18	-6	20	4	-2	6	
63	-54	-75	-23	-8	15	2	-2	5	
64	-56	-77	-24	-8	14	2	-3	6	
65	-51	-74	-24	-9	11	-1	-4	5	
66	-52	-75	-24	-10	9	-1	-3	5	
67	-47	-72	-25	-11	6	-2	-2	8	
68	-47	-77	-26	-13	0	-6	-5	4	
69	-46	-76	-26	-14	-4	-12	-9	2	
70	-48	-75	-28	-18	-11	-18	-11	-1	
71	-46	-70	-28	-24	-16	-22	-14	-2	
72	-44	-65	-29	-30	-21	-25	-16	-3	
73	-54	-72	-31	-36	-28	-31	-23	-8	
74	-60	-80	-32	-37	-32	-35	-28	-11	
75	-53	-79	-30	-37	-34	-36	-29	-10	
76	-47	-81	-27	-34	-36	-38	-30	-9	
77	-44	-82	-23	-28	-35	-38	-30	-9	
78	-44	-84	-18	-23	-34	-39	-30	-10	
79	-44	-86	-15	-19	-33	-37	-30	-11	
80	-35	-79	-11	-16	-31	-35	-28	-9	
81	-27	-74	-8	-14	-30	-36	-26	-8	
82	-22	-69	-7	-13	-32	-37	-28	-10	
83	-23	-76	-8	-14	-34	-39	-30	-11	
84	-16	-71	-6	-14	-34	-38	-29	-8	
85	-22	-73	-3	-15	-31	-36	-27	-6	
86	-34	-80	0	-15	-29	-34	-28	-7	
87	-37	-82	4	-14	-25	-33	-27	-8	
88	-35	-76	6	-12	-21	-29	-23	-5	
89	-33	-72	7	-11	-18	-26	-20	-3	
90	-33	-67	7	-10	-16	-25	-20	-1	
91	-37	-70	10	-11	-17	-27	-21	-3	
92	-34	-65	14	-9	-15	-25	-22	-3	
93	-36	-65	15	-9	-15	-27	-23	-5	
94	-38	-66	18	-8	-15	-26	-23	-4	
95	-36	-62	19	-6	-10	-22	-19	-1	
96	-37	-64	20	-5	-7	-21	-19	0	
97	-36	-63	22	-5	-7	-22	-20	-1	
98	-39	-65	23	-5	-9	-23	-22	-3	
99	-37	-66	25	-3	-7	-22	-21	-3	
100	-34	-59	25	0	-5	-21	-18	-1	
101	-43	-59	26	0	-3	-20	-18	1	
102	-37	-54	29	1	-4	-19	-17	1	
103	-37	-62	30	0	-7	-23	-21	-3	
104	-34	-61	30	-1	-8	-24	-20	-4	
105	-31	-60	31	1	-7	-24	-20	-3	
106	-30	-60	32	1	-6	-24	-20	-3	
107	-26	-56	33	1	-5	-21	-21	-3	
108	-23	-54	33	2	-4	-20	-19	-3	
109	-28	-55	33	3	-4	-21	-18	-1	
110	-31	-54	35	3	-3	-22	-18	0	
111	-29	-53	35	3	-2	-23	-18	-1	
112	-19	-45	36	5	1	-21	-15	0	
113	-19	-46	39	6	0	-20	-15	1	
114	-25	-52	40	8	-1	-20	-16	-1	
115	-38	-62	42	8	-1	-24	-20	-3	
116	-30	-66	41	7	-5	-31	-28	-11	
117	-24	-62	45	10	-3	-35	-33	-16	
118	-35	-59	51	12	2	-35	-35	-19	
119	-44	-55	58	15	8	-35	-39	-23	
120	-44	-50	67	20	17	-31	-39	-25	
121	-43	-47	76	27	26	-25	-39	-27	
122	-52	-56	80	32	34	-16	-34	-26	
123	-54	-57	86	45	45	2	-18	-14	
124	-46	-59	87	56	57	21	4	2	
125	-15	-44	84	74	77	55	41	30	
126	12	-11	85	105	114	116	109	86	
127	31	16	77	134	147	185	182	152	
