samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	-19	-26	49	-5	-89	-49	-34	-20	
1	-18	-29	50	-6	-88	-48	-33	-20	
2	-13	-31	54	-3	-87	-47	-32	-20	
3	-17	-30	60	-2	-83	-46	-32	-18	
4	-13	-29	65	0	-82	-45	-30	-16	
5	-13	-34	66	3	-81	-46	-31	-17	
6	-14	-39	68	1	-82	-48	-33	-17	
7	-13	-38	68	0	-85	-50	-36	-19	
8	-15	-38	70	1	-89	-54	-38	-23	
9	-13	-38	74	6	-91	-55	-39	-25	
10	-12	-41	84	16	-90	-57	-42	-29	
11	-29	-63	94	21	-96	-69	-58	-44	
12	-38	-86	105	34	-100	-87	-76	-63	
13	-34	-95	120	48	-101	-100	-93	-80	
14	-33	-86	131	55	-94	-101	-95	-81	
15	-52	-90	129	52	-92	-103	-99	-82	
16	-62	-87	119	38	-84	-98	-96	-80	
17	-41	-46	116	32	-62	-74	-74	-59	
18	-34	-12	112	34	-31	-39	-41	-30	
19	-28	14	104	31	5	2	0	3	
20	-21	45	97	33	47	53	51	45	
21	-7	80	87	32	83	109	109	93	
22	10	106	76	31	112	171	174	146	
23	39	141	62	30	148	247	255	211	
24	75	193	40	22	180	325	340	283	
25	98	214	15	9	182	370	397	332	
26	118	235	-8	-3	180	406	444	373	
27	137	259	-38	-26	160	434	486	413	
28	164	279	-65	-49	129	449	515	441	
29	176	276	-85	-61	89	448	520	445	
30	175	255	-100	-74	52	425	499	429	
31	177	235	-103	-80	13	375	447	389	
32	164	177	-92	-71	-31	306	366	317	
33	142	106	-80	-66	-78	232	283	243	
34	111	56	-72	-74	-123	166	211	182	
35	75	19	-59	-82	-163	101	141	127	
36	53	-2	-45	-89	-195	42	81	83	
37	30	-23	-33	-88	-219	-9	32	47	
38	25	-33	-19	-75	-231	-49	-9	16	
39	14	-44	-2	-61	-235	-82	-45	-17	
40	1	-54	13	-47	-228	-101	-63	-31	
41	3	-64	16	-40	-219	-112	-75	-39	
42	-2	-65	22	-34	-199	-106	-70	-36	
43	-17	-63	34	-25	-175	-93	-61	-30	
44	-20	-53	46	-14	-153	-80	-51	-24	
45	-15	-43	57	-7	-134	-73	-44	-21	
46	-20	-43	66	-1	-124	-69	-45	-21	
47	-13	-30	78	7	-115	-61	-37	-15	
48	-7	-28	80	9	-109	-56	-35	-13	
49	-17	-35	79	9	-105	-53	-34	-12	
50	-24	-33	78	9	-101	-48	-31	-10	
51	-23	-29	78	6	-96	-44	-27	-7	
52	-22	-26	79	6	-94	-43	-25	-6	
53	-21	-31	76	2	-96	-48	-31	-9	
54	-19	-28	77	3	-96	-48	-32	-9	
55	-15	-25	80	5	-99	-47	-32	-10	
56	-8	-26	78	6	-106	-51	-36	-14	
57	-7	-30	83	10	-108	-52	-36	-13	
58	-13	-35	86	14	-106	-51	-34	-11	
59	-18	-33	85	16	-105	-48	-33	-9	
60	-38	-46	78	9	-112	-49	-36	-13	
61	-36	-47	74	5	-113	-50	-36	-14	
62	-24	-32	71	4	-110	-48	-35	-12	
63	-28	-34	67	2	-111	-51	-38	-15	
64	-38	-43	66	2	-111	-53	-40	-18	
65	-25	-42	70	7	-108	-49	-38	-15	
66	-22	-45	71	9	-108	-51	-39	-18	
67	-28	-45	68	7	-110	-53	-43	-20	
68	-30	-44	70	10	-108	-54	-42	-18	
69	-20	-36	73	15	-102	-50	-35	-14	
70	-13	-25	73	14	-100	-47	-32	-10	
71	-18	-27	72	13	-96	-45	-29	-9	
72	-29	-43	68	7	-99	-48	-34	-12	
73	-16	-32	71	7	-95	-43	-32	-10	
74	-3	-17	76	9	-91	-37	-28	-6	
75	-19	-32	72	5	-96	-41	-33	-11	
76	-33	-46	75	6	-97	-43	-35	-13	
77	-27	-41	81	12	-95	-41	-33	-11	
78	-28	-34	89	17	-91	-39	-30	-9	
79	-22	-27	90	18	-91	-43	-31	-7	
80	-25	-32	83	10	-95	-45	-32	-9	
81	-23	-27	87	11	-93	-41	-29	-6	
82	-10	-14	87	11	-87	-36	-24	-1	
83	-15	-20	85	7	-86	-36	-25	-2	
84	-11	-19	88	8	-83	-33	-22	-1	
85	-8	-16	92	10	-82	-31	-22	-1	
86	-10	-18	89	8	-86	-34	-25	-4	
87	-19	-25	90	10	-87	-32	-24	-4	
88	-19	-19	93	17	-85	-30	-22	0	
89	-29	-33	89	14	-90	-35	-25	-3	
90	-27	-33	85	12	-94	-35	-25	-2	
91	-19	-21	87	14	-88	-32	-22	3	
92	-16	-28	83	7	-93	-38	-28	-3	
93	-8	-22	80	3	-92	-35	-28	-3	
94	-10	-18	81	3	-88	-29	-23	0	
95	-19	-20	82	8	-85	-27	-20	4	
96	-21	-16	90	11	-81	-24	-16	7	
97	-19	-20	84	7	-87	-26	-17	3	
98	-11	-19	82	8	-90	-28	-19	2	
99	-14	-20	81	9	-89	-26	-18	4	
100	-14	-14	82	10	-87	-23	-13	9	
101	-11	-9	76	8	-89	-23	-13	7	
102	-18	-18	72	4	-90	-25	-18	5	
103	-16	-17	73	3	-88	-26	-19	5	
104	-15	-14	73	6	-84	-24	-17	7	
105	-13	-8	75	7	-79	-22	-14	10	
106	-17	-16	69	5	-84	-25	-17	6	
107	-26	-26	66	5	-88	-27	-20	4	
108	-26	-25	69	10	-85	-22	-13	9	
109	-16	-14	67	9	-86	-21	-11	10	
110	-15	-10	63	8	-87	-20	-9	12	
111	-15	-14	62	10	-84	-18	-8	13	
112	-12	-16	60	9	-85	-16	-6	13	
113	-22	-19	56	9	-83	-13	-2	15	
114	-6	-3	56	11	-79	-7	3	21	
115	19	10	55	9	-78	-5	6	24	
116	11	1	50	5	-82	-7	2	22	
117	4	2	52	9	-77	-4	6	27	
118	8	4	54	16	-74	0	11	31	
119	3	1	51	16	-75	1	12	32	
120	-8	-3	45	12	-78	0	12	30	
121	-5	0	44	14	-75	5	15	32	
122	6	13	43	16	-70	12	22	39	
123	7	12	39	14	-70	13	24	40	
124	5	0	33	10	-74	13	25	40	
125	-6	-9	24	6	-76	11	25	39	
126	19	17	31	16	-68	20	32	48	
127	33	34	35	23	-60	31	43	61	
128	22	25	30	22	-60	36	49	66	
129	21	26	25	22	-58	41	55	70	
130	28	39	25	26	-55	47	59	76	
131	29	42	24	25	-51	52	65	80	
132	27	40	19	20	-50	55	70	82	
133	26	37	14	18	-49	57	75	86	
134	27	40	7	18	-48	58	76	88	
135	23	38	1	13	-48	58	76	89	
136	20	35	-1	11	-48	61	78	92	
137	37	53	-1	14	-41	69	86	100	
138	59	72	3	20	-36	77	95	108	
139	62	75	5	23	-32	81	99	113	
140	57	69	2	22	-34	80	99	112	
141	53	69	-3	21	-34	80	101	112	
142	49	68	-3	22	-33	83	103	114	
143	64	80	-1	25	-25	90	110	122	
144	72	82	-1	24	-23	94	112	124	
145	60	74	-1	20	-24	93	111	123	
146	53	71	-6	16	-27	91	108	122	
147	47	73	-9	15	-26	90	108	124	
148	45	68	-9	17	-24	90	110	125	
149	41	61	-16	15	-25	85	106	122	
150	49	70	-19	16	-24	86	106	123	
151	55	80	-19	16	-20	88	108	125	
152	46	73	-19	15	-20	88	106	121	
153	36	67	-11	18	-17	88	106	121	
154	27	61	-9	17	-16	88	103	117	
155	33	60	-9	12	-14	87	99	114	
156	24	63	-7	13	-10	89	99	115	
157	35	68	-8	10	-10	84	95	110	
158	61	69	-15	3	-17	73	83	99	
159	55	67	-15	5	-13	69	80	98	
160	35	59	-15	7	-10	67	77	96	
161	32	60	-14	7	-7	67	75	93	
162	29	57	-13	7	-6	67	74	89	
163	31	56	-11	7	-4	65	70	87	
164	38	52	-8	6	-4	62	65	82	
165	38	49	-9	6	-3	60	61	78	
166	31	44	-10	2	-5	56	56	72	
167	22	42	-6	2	-4	52	50	69	
168	15	40	-8	-1	-6	48	45	63	
169	1	25	-8	-2	-8	43	40	57	
170	-2	18	-8	-3	-9	41	35	54	
171	12	31	-3	-1	-7	40	33	52	
172	16	31	0	0	-7	39	32	49	
173	3	18	-3	-2	-8	34	28	44	
174	1	15	-3	-2	-12	27	21	38	
175	0	17	-1	-5	-12	22	17	34	
176	-7	6	-2	-5	-15	19	12	31	
177	-15	-5	0	-3	-14	19	12	29	
178	-15	-2	4	-3	-15	20	12	30	
179	2	19	8	1	-10	21	13	31	
180	-3	13	3	-3	-14	16	9	27	
181	-10	4	-1	-6	-16	11	4	23	
182	-13	-1	-1	-4	-14	10	2	21	
183	-19	-9	1	2	-11	10	2	23	
184	-23	-15	3	5	-9	10	3	23	
185	-12	-15	1	1	-14	5	-5	16	
186	3	-11	0	-1	-16	4	-6	14	
187	-8	-13	2	2	-15	6	-4	14	
188	-9	-17	1	0	-18	2	-8	10	
189	-19	-27	-2	-5	-23	-2	-13	5	
190	-18	-27	-3	-6	-21	-4	-13	5	
191	-14	-22	-1	-6	-19	-3	-13	6	
192	-11	-18	2	-1	-14	-3	-12	8	
193	-7	-13	5	3	-12	-3	-12	8	
194	-7	-15	3	1	-12	-5	-16	5	
195	-9	-22	2	-2	-14	-7	-19	3	
196	-13	-27	4	3	-10	-4	-16	6	
197	-8	-25	9	7	-6	-2	-12	9	
198	-16	-26	11	3	-6	-3	-14	6	
199	-18	-24	11	2	-8	-5	-15	5	
200	-20	-26	7	0	-7	-6	-16	4	
201	-18	-23	8	3	-6	-5	-15	4	
202	-13	-16	8	2	-3	-5	-15	3	
203	-15	-20	7	2	-4	-6	-18	1	
204	-18	-25	3	0	-4	-9	-22	-2	
205	-10	-23	5	2	0	-8	-20	0	
206	-14	-31	4	3	1	-7	-18	0	
207	-26	-37	3	-1	-1	-8	-19	-1	
208	-24	-29	2	-3	-1	-6	-18	3	
209	-20	-23	0	-4	0	-4	-16	2	
210	-13	-19	4	1	5	-1	-13	4	
211	-11	-17	6	2	7	-1	-14	6	
212	-20	-26	3	-2	5	-5	-18	2	
213	-22	-33	0	-3	4	-8	-22	-1	
214	-11	-17	7	2	12	-1	-15	5	
215	-6	-16	10	6	16	3	-11	8	
216	-4	-17	10	7	17	7	-7	11	
217	-15	-24	3	3	12	2	-10	7	
218	-22	-28	1	-1	9	-1	-11	5	
219	-21	-19	0	0	8	-2	-12	7	
220	-20	-14	0	1	10	1	-9	9	
221	-15	-10	2	2	14	5	-5	12	
222	-14	-12	2	4	17	6	-4	12	
223	-12	-14	0	1	18	6	-6	12	
224	-14	-19	-1	2	20	4	-9	12	
225	-16	-23	-4	2	17	-1	-13	9	
226	-14	-24	-8	0	17	-3	-15	7	
227	-15	-30	-5	0	18	-1	-11	7	
228	-21	-29	-7	1	18	-1	-10	7	
229	-22	-18	-10	-3	17	-1	-11	6	
230	-22	-19	-6	-3	20	0	-8	8	
231	-22	-13	-7	-2	21	0	-6	9	
232	-8	-6	-7	2	26	4	-4	13	
233	-11	-16	-8	1	25	4	-6	13	
234	-17	-22	-10	-4	23	0	-10	9	
235	-23	-25	-8	-4	25	1	-11	11	
236	-15	-19	-6	-3	27	1	-10	13	
237	-12	-15	-4	-3	28	1	-9	14	
238	-19	-12	-2	-1	30	2	-8	13	
239	-21	-14	-4	-1	29	1	-9	13	
240	-20	-14	-4	-3	30	2	-6	13	
241	-22	-9	0	2	35	9	-1	18	
242	-25	-9	0	2	35	7	-3	18	
243	-11	-7	-3	-1	33	4	-6	15	
244	-20	-25	-13	-8	24	-4	-14	6	
245	-21	-20	-9	-6	28	2	-7	13	
246	-8	-3	-3	1	33	7	-2	19	
247	-12	-2	-6	-3	32	2	-7	16	
248	-24	-11	-8	-3	30	1	-7	14	
249	-12	-16	-9	-4	28	-3	-10	9	
250	-7	-15	-14	-5	25	-6	-13	6	
251	-13	-18	-14	-7	24	-6	-15	2	
252	-14	-18	-15	-7	22	-7	-15	3	
253	-4	-7	-8	-1	27	-3	-10	8	
254	1	0	-6	-2	26	-2	-8	9	
255	0	0	-5	-4	27	-2	-10	9	
256	-10	-8	-7	-4	25	-1	-10	10	
257	-15	-15	-5	-1	27	-2	-11	10	
258	-26	-20	-1	-2	29	0	-8	12	
259	-47	-34	-2	-6	28	-1	-10	10	
