samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	-31	-45	122	111	62	-10	-76	-58	
1	-32	-40	151	154	89	3	-67	-57	
2	-23	-18	183	214	129	31	-46	-43	
3	-14	14	196	258	175	68	-13	-22	
4	-5	49	201	274	214	105	20	0	
5	25	99	193	281	250	146	60	33	
6	52	148	157	271	276	189	105	69	
7	82	209	112	263	312	245	162	116	
8	124	285	52	245	340	302	224	170	
9	179	370	-7	220	365	357	284	225	
10	219	434	-49	210	394	404	332	271	
11	240	480	-91	188	407	438	373	309	
12	257	530	-155	142	405	467	410	346	
13	269	572	-212	88	394	486	437	375	
14	275	574	-266	32	364	477	440	384	
15	272	527	-307	-6	320	444	418	372	
16	266	473	-327	-65	252	389	376	343	
17	241	404	-334	-162	155	307	312	297	
18	183	312	-311	-246	57	212	234	240	
19	127	235	-278	-298	-30	124	163	186	
20	82	166	-251	-347	-115	40	95	135	
21	56	113	-229	-369	-165	-16	47	94	
22	31	69	-210	-370	-188	-46	12	63	
23	16	32	-195	-355	-200	-68	-12	37	
24	-1	-6	-181	-333	-205	-89	-38	10	
25	-11	-39	-165	-305	-205	-106	-60	-13	
26	-14	-60	-146	-273	-199	-117	-76	-30	
27	-13	-69	-129	-242	-184	-119	-85	-42	
28	-11	-70	-112	-210	-162	-112	-85	-46	
29	-10	-66	-94	-178	-140	-100	-81	-45	
30	-6	-60	-80	-145	-116	-87	-75	-43	
31	-6	-56	-62	-114	-94	-72	-67	-41	
32	1	-42	-42	-85	-72	-56	-58	-34	
33	6	-39	-34	-70	-63	-50	-53	-35	
34	4	-37	-28	-59	-57	-44	-50	-33	
35	7	-33	-23	-53	-53	-42	-47	-32	
36	-5	-45	-23	-54	-56	-47	-53	-38	
37	-5	-51	-23	-54	-56	-53	-59	-43	
38	-2	-52	-20	-52	-54	-56	-62	-46	
39	-11	-59	-19	-50	-53	-57	-63	-46	
40	-8	-59	-18	-49	-54	-58	-65	-48	
41	-2	-52	-17	-45	-52	-54	-62	-47	
