samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	-32	30	10	-24	-40	-36	-16	-18	
1	-30	32	8	-26	-40	-36	-16	-18	
2	-30	34	8	-26	-40	-36	-14	-16	
3	-28	36	6	-28	-42	-36	-14	-14	
4	-28	38	4	-30	-42	-36	-12	-14	
5	-26	40	4	-30	-42	-36	-12	-10	
6	-26	42	2	-32	-44	-36	-10	-8	
7	-24	44	2	-34	-44	-36	-8	-6	
8	-24	44	0	-36	-46	-36	-6	-4	
9	-22	46	-2	-38	-46	-36	-4	0	
10	-22	48	-4	-40	-48	-36	-2	2	
11	-20	48	-6	-42	-50	-38	0	6	
12	-18	50	-8	-46	-52	-38	2	8	
13	-16	50	-12	-50	-56	-40	4	12	
14	-16	52	-14	-54	-58	-42	8	16	
15	-14	52	-18	-58	-62	-44	10	20	
16	-10	54	-22	-62	-64	-46	12	22	
17	-8	56	-26	-66	-68	-48	14	26	
18	-4	56	-30	-72	-70	-50	16	30	
19	-2	58	-34	-76	-74	-52	18	34	
20	2	60	-38	-80	-76	-54	20	38	
21	6	62	-42	-84	-78	-56	22	42	
22	10	64	-46	-88	-80	-58	24	46	
23	14	68	-50	-92	-82	-60	26	52	
24	18	70	-56	-96	-84	-62	28	56	
25	22	72	-60	-100	-86	-64	32	60	
26	28	74	-64	-104	-88	-64	34	64	
27	32	78	-70	-106	-88	-66	36	68	
28	38	80	-76	-110	-88	-66	38	72	
29	42	82	-80	-112	-88	-66	40	76	
30	48	84	-86	-114	-88	-66	42	78	
31	52	86	-90	-114	-86	-64	44	82	
32	56	88	-96	-116	-84	-64	48	86	
33	60	88	-100	-116	-82	-62	50	88	
34	64	90	-106	-114	-78	-58	52	92	
35	66	90	-110	-114	-74	-56	54	94	
36	68	90	-114	-110	-68	-52	58	98	
37	68	90	-116	-108	-62	-46	60	100	
38	68	90	-120	-104	-56	-42	62	102	
39	68	90	-122	-98	-48	-36	66	104	
40	68	90	-122	-92	-38	-28	68	106	
41	66	90	-122	-84	-30	-22	72	108	
42	66	92	-122	-76	-20	-14	74	110	
43	64	92	-120	-68	-10	-6	76	112	
44	64	94	-118	-58	0	2	80	112	
45	64	96	-116	-50	12	12	82	114	
46	64	98	-114	-38	22	20	84	114	
47	66	100	-110	-28	34	28	86	114	
48	66	102	-106	-18	46	38	88	112	
49	68	106	-102	-6	56	46	88	112	
50	70	108	-98	4	66	54	90	110	
51	70	110	-94	14	76	60	90	108	
52	72	112	-90	24	86	66	90	106	
53	72	112	-86	34	94	72	90	104	
54	70	112	-80	42	102	76	88	100	
55	68	112	-76	50	108	80	86	98	
56	66	110	-74	56	112	82	84	94	
