samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	-39	-164	48	114	150	64	-97	7	
1	-35	-157	47	120	151	66	-100	7	
2	-32	-149	45	126	153	69	-100	8	
3	-43	-154	47	131	157	73	-99	12	
4	-47	-159	51	134	155	70	-101	11	
5	-23	-156	48	132	150	64	-106	6	
6	13	-143	48	132	147	64	-106	4	
7	15	-143	48	135	150	69	-102	5	
8	9	-142	47	133	149	70	-98	6	
9	2	-147	48	132	149	67	-99	5	
10	-5	-142	45	139	154	72	-93	7	
11	6	-131	43	141	155	74	-91	8	
12	30	-103	55	142	161	81	-84	15	
13	29	-83	74	144	170	95	-70	28	
14	-4	-106	67	144	169	94	-71	26	
15	-39	-137	54	146	164	85	-78	18	
16	-69	-166	41	146	159	78	-84	12	
17	-77	-183	33	144	152	73	-85	6	
18	-61	-168	38	150	159	79	-77	11	
19	-44	-147	45	154	169	87	-66	18	
20	-23	-125	55	162	176	96	-59	26	
21	-7	-103	62	174	182	104	-53	34	
22	-3	-92	65	184	188	108	-48	36	
23	-5	-92	60	185	186	108	-49	35	
24	-25	-116	55	183	181	105	-54	31	
25	-58	-147	47	180	173	97	-60	24	
26	-65	-154	46	184	176	97	-60	24	
27	-41	-140	51	190	180	102	-55	26	
28	-19	-118	53	198	189	111	-46	34	
29	11	-97	49	206	193	114	-42	36	
30	47	-81	43	207	192	114	-45	31	
31	42	-73	54	213	197	120	-40	35	
32	30	-81	58	207	196	120	-41	36	
33	23	-91	56	206	195	119	-44	33	
34	-7	-108	53	209	197	121	-45	32	
35	-31	-119	50	218	203	126	-43	34	
36	-13	-105	53	232	213	132	-39	40	
37	3	-92	55	237	220	138	-32	44	
38	19	-80	56	241	220	137	-32	44	
39	31	-69	56	244	221	139	-29	45	
40	43	-60	50	245	221	142	-31	43	
41	60	-45	52	253	225	146	-30	44	
42	85	-14	59	266	238	159	-18	55	
43	88	-4	61	275	247	167	-14	59	
44	71	-11	61	282	252	173	-10	63	
45	59	-28	60	282	252	172	-16	60	
46	45	-48	53	280	249	170	-23	55	
47	2	-80	46	273	245	165	-31	51	
48	-2	-79	50	271	247	166	-33	54	
49	17	-52	62	278	258	178	-22	64	
50	32	-28	61	284	264	185	-17	71	
51	29	-27	57	285	262	184	-18	70	
52	20	-43	48	272	249	176	-28	61	
53	4	-61	39	258	237	169	-35	53	
54	-6	-81	30	244	226	161	-47	43	
55	14	-73	25	241	223	158	-55	38	
56	35	-48	31	242	227	163	-49	45	
57	41	-28	38	243	233	170	-43	53	
58	34	-15	43	243	235	175	-37	61	
59	30	-4	46	238	232	177	-35	67	
60	23	4	47	230	222	177	-34	70	
61	15	4	46	223	217	174	-36	70	
62	-3	5	51	223	211	178	-34	76	
63	11	8	47	211	197	174	-40	72	
64	34	8	35	187	177	160	-52	61	
65	64	11	25	159	158	146	-64	50	
