samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	-34	-44	38	14	-12	-16	-16	-26	
1	-32	-44	38	14	-12	-16	-16	-26	
2	-32	-44	38	16	-12	-16	-16	-26	
3	-32	-44	38	18	-10	-16	-16	-24	
4	-30	-44	38	18	-10	-16	-16	-24	
5	-30	-44	38	20	-8	-16	-16	-24	
6	-28	-44	38	22	-8	-16	-16	-26	
7	-28	-44	38	22	-8	-16	-16	-26	
8	-26	-44	38	24	-6	-16	-16	-26	
9	-24	-42	38	26	-4	-16	-16	-26	
10	-22	-42	38	28	-4	-14	-14	-26	
11	-20	-42	36	30	-2	-14	-14	-26	
12	-18	-40	36	32	0	-14	-14	-26	
13	-16	-38	36	34	2	-12	-12	-26	
14	-14	-38	36	36	4	-12	-12	-24	
15	-12	-36	36	38	6	-12	-10	-24	
16	-10	-34	36	40	10	-10	-8	-24	
17	-8	-32	36	44	12	-10	-6	-22	
18	-6	-28	36	46	16	-8	-4	-20	
19	-4	-26	36	50	18	-8	-2	-20	
20	-2	-24	36	52	22	-6	0	-18	
21	0	-20	36	56	26	-6	2	-16	
22	2	-16	36	60	30	-4	2	-16	
23	4	-14	36	62	32	-4	4	-14	
24	6	-10	36	66	36	-2	6	-12	
25	10	-8	36	70	40	-2	8	-12	
26	12	-4	36	72	44	0	10	-10	
27	14	0	34	76	46	2	12	-10	
28	18	2	34	78	50	4	12	-8	
29	20	6	32	82	52	6	14	-8	
30	22	10	32	84	56	8	16	-6	
31	24	14	32	88	58	10	18	-4	
32	28	16	30	90	62	12	20	-4	
33	30	20	30	92	64	14	20	-2	
34	32	24	30	96	66	16	22	0	
35	32	28	30	98	70	18	24	2	
36	34	32	30	100	72	22	26	4	
37	36	36	30	102	74	24	26	8	
38	36	40	30	104	78	26	28	10	
39	38	44	30	106	80	28	28	12	
40	38	46	30	108	82	30	30	14	
41	40	50	30	108	84	32	30	16	
42	40	54	30	108	86	34	32	18	
43	40	56	30	108	88	36	32	20	
44	42	60	30	108	88	38	32	22	
45	42	62	30	108	88	40	34	24	
46	44	64	30	106	90	42	34	26	
47	44	66	28	104	90	42	34	28	
48	46	68	28	102	88	44	34	28	
49	46	70	26	100	88	46	36	30	
50	46	70	26	98	86	46	36	30	
51	46	70	24	94	84	46	36	32	
52	46	70	24	90	82	46	36	32	
53	46	70	22	86	78	46	36	32	
54	46	70	20	82	74	46	36	32	
55	44	68	20	78	70	44	34	32	
56	44	66	18	74	66	42	34	32	
57	42	64	18	68	62	40	32	32	
58	40	62	18	64	58	38	32	30	
59	38	58	16	60	52	36	30	30	
60	36	56	16	54	48	34	28	28	
61	34	52	16	50	42	32	28	26	
62	30	48	14	44	38	28	26	24	
63	28	42	14	40	32	26	24	22	
64	24	38	14	36	28	22	22	20	
