samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	-34	-24	28	12	30	14	-4	-14	
1	-34	-20	28	14	32	18	-2	-12	
2	-34	-16	26	14	36	20	0	-12	
3	-34	-12	26	14	38	24	4	-10	
4	-32	-6	26	16	40	26	6	-8	
5	-30	-2	26	16	42	28	8	-6	
6	-28	2	24	18	44	30	10	-4	
7	-24	6	22	18	46	32	12	-2	
8	-22	8	20	18	48	34	14	-2	
9	-20	12	18	18	48	34	16	0	
10	-18	12	16	18	50	36	18	2	
11	-18	12	16	18	50	36	18	2	
12	-16	14	14	18	50	36	18	4	
13	-14	12	12	18	50	36	20	4	
14	-14	12	10	16	52	36	20	4	
15	-12	14	8	16	52	36	20	4	
16	-10	14	8	16	52	38	22	6	
17	-8	14	8	14	54	38	22	6	
18	-6	16	6	14	54	40	22	6	
19	-4	18	6	14	56	40	22	8	
20	0	22	6	12	56	42	24	8	
21	2	24	6	12	58	42	24	10	
22	6	28	6	12	58	44	26	10	
23	8	32	4	12	60	44	26	12	
24	10	34	4	10	60	46	28	14	
25	10	36	2	10	60	46	28	16	
26	10	38	0	10	60	48	30	16	
27	8	40	-2	10	60	48	30	18	
28	6	40	-4	8	58	48	32	20	
29	4	38	-6	8	56	48	32	22	
30	0	38	-8	8	54	46	34	22	
31	-2	36	-10	6	52	46	34	22	
32	-4	34	-14	6	50	44	34	24	
33	-6	30	-16	4	46	42	34	24	
34	-8	28	-18	4	44	40	32	24	
35	-10	26	-20	2	40	40	32	22	
36	-10	24	-22	2	36	38	32	22	
37	-8	24	-24	2	34	36	30	22	
38	-6	24	-24	0	32	36	30	20	
39	-4	24	-24	0	30	36	30	20	
40	-2	24	-24	0	28	34	30	20	
41	2	26	-24	0	26	34	30	20	
42	4	26	-22	2	26	36	30	20	
43	8	28	-22	2	26	36	30	20	
44	10	30	-20	4	26	36	32	20	
45	12	32	-18	4	26	38	32	22	
46	12	32	-14	6	26	38	32	22	
47	12	34	-12	8	26	38	32	22	
48	12	34	-10	8	28	38	32	22	
49	12	32	-6	10	28	38	32	24	
50	10	32	-4	10	28	38	32	24	
51	8	30	-2	10	28	38	30	22	
52	8	28	2	10	26	36	30	22	
53	6	26	4	10	26	34	28	20	
54	4	24	4	10	26	34	26	20	
55	4	22	6	10	24	32	24	18	
56	4	20	8	10	24	30	22	16	
57	4	18	8	10	22	28	20	14	
58	6	18	10	8	22	26	18	14	
59	8	16	10	8	22	24	16	12	
60	10	16	10	8	20	22	14	10	
61	10	16	10	6	20	20	12	8	
62	12	14	12	6	18	18	10	8	
63	14	14	12	4	18	16	8	6	
64	14	14	12	4	16	14	6	6	
65	12	12	12	4	16	12	4	4	
66	10	10	12	2	14	12	4	4	
67	6	8	12	2	14	10	2	2	
68	2	6	12	2	12	8	2	2	
69	-4	4	12	2	12	8	2	2	
70	-10	2	12	2	12	8	2	2	
71	-14	-2	12	2	10	6	2	2	
72	-20	-4	10	2	10	6	2	2	
73	-24	-4	10	2	8	6	0	2	
74	-26	-6	10	2	8	6	0	2	
75	-26	-6	8	2	8	4	0	2	
76	-26	-6	6	2	6	4	0	0	
77	-24	-6	6	2	6	2	0	0	
78	-20	-6	4	0	4	2	-2	0	
79	-16	-4	2	0	4	0	-2	-2	
80	-10	-4	0	-2	2	-2	-4	-2	
81	-6	-4	0	-4	2	-4	-4	-4	
82	0	-2	-2	-6	0	-4	-6	-6	
83	4	-2	-4	-8	-2	-6	-8	-6	
84	8	-2	-6	-10	-2	-8	-8	-8	
85	10	-2	-6	-10	-4	-8	-8	-8	
86	10	-2	-8	-12	-4	-10	-8	-8	
87	10	-2	-8	-12	-4	-10	-8	-8	
88	8	-4	-10	-12	-4	-10	-8	-6	
89	6	-4	-10	-12	-4	-8	-6	-6	
90	2	-4	-8	-10	-4	-6	-4	-4	
91	0	-4	-8	-8	-2	-4	-2	-2	
92	-4	-2	-6	-6	-2	-2	-2	0	
93	-6	-2	-6	-4	0	0	0	2	
94	-8	-2	-4	-2	2	2	2	2	
95	-8	-2	-2	0	2	2	2	4	
96	-8	-2	-2	0	2	4	2	4	
97	-6	-2	0	2	2	4	2	6	
98	-4	-2	0	2	2	4	2	4	
99	-2	-4	0	2	2	2	0	4	
100	2	-6	0	0	0	2	-2	2	
101	4	-8	0	0	-2	0	-4	-2	
102	8	-10	-2	-2	-4	-4	-6	-4	
103	10	-12	-2	-2	-6	-6	-8	-6	
104	12	-16	-4	-4	-8	-8	-10	-10	
105	12	-18	-4	-4	-10	-10	-12	-12	
106	14	-20	-6	-4	-12	-10	-12	-14	
107	14	-20	-6	-4	-12	-10	-12	-16	
108	12	-20	-6	-2	-12	-10	-12	-16	
109	12	-20	-6	0	-12	-10	-10	-16	
110	12	-18	-6	2	-10	-8	-10	-16	
111	12	-16	-6	4	-8	-4	-8	-14	
112	10	-14	-6	8	-6	-2	-6	-12	
113	10	-12	-4	10	-4	0	-4	-10	
114	10	-10	-2	12	-2	2	-2	-8	
115	10	-8	-2	14	2	6	0	-6	
116	10	-6	0	16	4	8	0	-4	
117	10	-4	0	16	6	10	2	-4	
