samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	3	53	-5	0	14	48	46	34	
1	2	45	-6	-3	10	40	40	30	
2	7	43	-6	-7	5	33	34	25	
3	-7	42	0	-5	4	29	33	26	
4	-5	38	0	-7	0	25	29	23	
5	4	33	-3	-10	-3	21	24	18	
6	5	33	1	-6	-2	23	27	19	
7	-2	25	3	-5	-3	22	25	17	
8	-15	16	5	-3	-1	22	26	16	
9	-21	14	7	-4	-2	23	24	14	
10	-18	18	9	-2	1	23	25	14	
11	-19	15	12	-2	0	22	24	14	
12	-15	13	12	-2	0	20	23	11	
13	-20	6	10	-4	-4	16	18	9	
14	-17	9	9	-5	-5	14	16	9	
15	-18	5	8	-9	-8	11	12	7	
16	-24	-2	7	-11	-12	10	10	4	
17	-33	-12	5	-15	-18	5	5	-2	
18	-24	-9	5	-17	-23	1	4	-5	
19	-28	-10	7	-15	-22	1	3	-5	
20	-35	-15	10	-14	-21	2	3	-5	
21	-23	-9	14	-14	-20	5	5	-5	
22	-22	-4	17	-11	-16	7	10	-1	
23	-23	-4	17	-10	-16	8	10	0	
24	-21	-9	15	-13	-20	4	8	-3	
25	-22	-12	14	-12	-21	4	7	-4	
26	-29	-13	14	-10	-19	6	9	-1	
27	-30	-10	15	-8	-18	5	8	0	
28	-31	-16	14	-11	-22	0	6	-3	
29	-35	-15	14	-11	-23	2	6	-3	
30	-34	-11	18	-10	-19	2	8	-3	
31	-33	-10	19	-9	-18	2	6	-4	
32	-30	-17	15	-14	-22	-2	0	-10	
33	-26	-14	16	-12	-21	-1	2	-10	
34	-25	-10	17	-9	-18	1	5	-7	
35	-27	-16	13	-11	-22	-4	-1	-10	
36	-32	-19	11	-11	-24	-4	-1	-9	
37	-42	-20	15	-9	-22	-2	2	-7	
38	-35	-19	15	-7	-22	-3	1	-8	
39	-32	-21	14	-9	-22	-4	-1	-11	
40	-50	-35	10	-15	-27	-7	-3	-15	
41	-62	-40	12	-17	-28	-6	-5	-16	
42	-41	-22	15	-14	-24	-2	-1	-11	
43	-28	-9	20	-10	-18	4	4	-4	
44	-38	-13	19	-9	-16	5	6	-3	
45	-28	-8	23	-7	-16	5	7	-2	
46	-26	-10	22	-8	-17	5	6	-2	
47	-32	-13	21	-5	-16	5	5	-2	
48	-38	-20	18	-8	-19	4	4	-4	
49	-42	-23	14	-11	-20	4	3	-6	
50	-31	-18	12	-15	-19	7	5	-4	
51	-32	-17	12	-16	-16	10	11	-1	
52	-44	-19	15	-12	-10	17	16	1	
53	-59	-13	20	-3	1	29	23	4	
54	-73	5	35	21	23	50	37	12	
55	-76	26	46	47	47	73	53	21	
56	-66	51	48	63	66	96	71	32	
57	-69	79	56	84	89	127	98	54	
58	-54	113	59	98	107	154	127	80	
59	-36	136	39	83	107	172	149	103	
60	-14	153	7	49	86	176	164	122	
61	14	159	-29	11	62	170	172	138	
62	46	163	-64	-38	29	156	175	152	
63	78	155	-107	-102	-8	131	171	171	
64	135	132	-156	-158	-43	91	158	188	
65	191	102	-204	-206	-71	52	146	208	
66	249	75	-260	-261	-102	9	130	229	
67	317	57	-306	-304	-127	-32	113	246	
68	377	25	-342	-329	-138	-82	82	254	
69	432	-16	-379	-357	-148	-135	45	254	
70	492	-27	-420	-384	-138	-151	39	279	
71	555	-26	-441	-394	-114	-146	46	309	
72	613	-62	-440	-383	-92	-158	30	309	
73	649	-123	-431	-370	-78	-182	-5	286	
74	671	-193	-425	-367	-86	-229	-70	228	
75	676	-276	-411	-375	-125	-315	-181	125	
76	667	-323	-398	-386	-168	-386	-273	33	
77	633	-341	-404	-411	-217	-429	-329	-36	
78	591	-355	-411	-432	-265	-461	-371	-97	
79	556	-356	-397	-426	-292	-471	-388	-135	
80	523	-352	-368	-404	-311	-471	-398	-166	
81	489	-328	-338	-379	-323	-458	-392	-184	
82	452	-282	-314	-357	-318	-423	-361	-176	
83	404	-237	-288	-334	-301	-379	-325	-161	
84	357	-201	-264	-308	-281	-339	-291	-145	
85	333	-176	-243	-280	-257	-304	-263	-132	
86	309	-149	-215	-249	-230	-267	-231	-117	
87	265	-135	-188	-219	-203	-233	-201	-105	
88	217	-139	-163	-199	-187	-211	-185	-102	
89	173	-131	-134	-173	-168	-184	-164	-94	
90	135	-119	-106	-145	-144	-157	-141	-85	
91	98	-117	-84	-121	-123	-134	-122	-80	
92	67	-104	-54	-91	-97	-106	-99	-68	
93	50	-79	-23	-57	-68	-73	-69	-50	
94	28	-73	-9	-41	-56	-56	-54	-46	
95	5	-64	4	-27	-41	-38	-38	-36	
96	-4	-49	17	-12	-28	-21	-23	-26	
97	-5	-40	24	-5	-23	-15	-17	-23	
98	-14	-47	25	-6	-23	-14	-18	-27	
99	-17	-56	23	-6	-25	-18	-25	-34	
100	-21	-57	27	-2	-21	-15	-25	-34	
101	-34	-61	29	0	-20	-15	-25	-35	
102	-39	-61	30	1	-19	-13	-22	-34	
103	-42	-61	29	0	-20	-11	-19	-34	
104	-40	-60	27	-1	-21	-14	-20	-36	
105	-35	-55	29	-1	-22	-14	-19	-35	
106	-45	-53	32	4	-18	-6	-14	-30	
107	-44	-43	40	11	-10	4	-5	-22	
108	-49	-49	40	11	-10	5	-4	-23	
109	-50	-56	38	9	-11	3	-9	-28	
110	-46	-50	42	11	-8	4	-9	-29	
111	-49	-47	43	15	-5	5	-7	-28	
112	-49	-49	43	16	-4	2	-8	-29	
113	-52	-56	40	13	-7	-4	-12	-34	
114	-50	-60	34	10	-9	-7	-14	-35	
115	-44	-57	30	9	-12	-8	-13	-34	
116	-49	-57	30	10	-10	-7	-10	-30	
117	-47	-46	39	16	-3	1	-2	-24	
118	-58	-46	45	21	4	5	1	-21	
119	-67	-54	43	18	1	3	-1	-24	
