samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	-14	-23	24	-111	-4	-32	-38	-54	
1	-19	-27	22	-114	-4	-34	-40	-55	
2	-33	-41	17	-116	-6	-37	-44	-59	
3	-35	-35	22	-113	-2	-32	-41	-54	
4	-26	-27	23	-109	0	-30	-39	-49	
5	-29	-23	25	-108	2	-26	-36	-46	
6	-30	-33	21	-115	-4	-32	-42	-51	
7	-13	-34	19	-119	-7	-34	-44	-54	
8	-25	-39	22	-120	-6	-33	-44	-54	
9	-30	-34	25	-122	-3	-30	-41	-52	
10	-14	-19	28	-120	3	-25	-36	-48	
11	-15	-19	29	-119	4	-25	-37	-49	
12	-24	-32	21	-124	-1	-31	-43	-56	
13	-27	-27	24	-121	3	-28	-39	-51	
14	-32	-25	28	-117	5	-24	-38	-50	
15	-29	-21	31	-115	4	-23	-37	-50	
16	-25	-25	28	-120	0	-26	-41	-52	
17	-23	-20	27	-121	1	-24	-39	-48	
18	-27	-30	25	-125	-1	-31	-42	-51	
19	-39	-40	25	-125	-1	-31	-44	-53	
20	-32	-34	24	-131	-2	-32	-43	-54	
21	-20	-33	20	-135	-6	-35	-47	-59	
22	-25	-29	21	-130	-2	-32	-45	-55	
23	-23	-20	23	-128	2	-28	-41	-53	
24	-35	-25	23	-126	1	-30	-43	-54	
25	-26	-30	22	-127	-2	-33	-46	-52	
26	-24	-34	22	-130	-5	-35	-47	-53	
27	-28	-36	22	-133	-7	-35	-45	-51	
28	-25	-38	18	-136	-7	-35	-48	-55	
29	-20	-27	26	-130	10	-26	-41	-49	
30	-32	-36	25	-135	25	-25	-42	-53	
31	-16	-25	23	-136	39	-21	-40	-52	
32	-12	-14	26	-130	52	-10	-33	-47	
33	-25	-16	24	-130	64	0	-29	-46	
34	-32	-10	25	-121	87	19	-20	-40	
35	-6	18	25	-114	103	41	-6	-30	
36	-5	34	9	-136	86	49	5	-21	
37	-13	51	-18	-175	32	47	19	-8	
38	-14	78	-58	-223	-40	48	39	11	
39	4	112	-96	-264	-112	55	61	32	
40	24	140	-130	-301	-191	64	87	57	
41	27	151	-165	-333	-279	75	112	80	
42	33	158	-203	-365	-380	90	140	105	
43	54	171	-246	-399	-480	117	176	134	
44	70	187	-291	-437	-587	137	214	168	
45	78	211	-334	-479	-694	149	256	209	
46	92	237	-373	-528	-803	143	288	244	
47	100	250	-412	-577	-894	126	305	264	
48	117	256	-443	-613	-958	117	320	280	
49	127	259	-453	-619	-983	121	338	296	
50	136	279	-455	-620	-987	128	366	322	
51	125	280	-470	-635	-997	105	372	334	
52	110	286	-480	-648	-1002	65	371	343	
53	126	289	-486	-662	-1010	3	357	343	
54	133	292	-483	-664	-1015	-60	349	350	
55	142	287	-480	-669	-1014	-137	328	345	
56	142	263	-477	-674	-1001	-219	298	330	
57	123	240	-457	-663	-963	-284	278	325	
58	98	197	-418	-636	-918	-350	251	312	
59	90	127	-383	-610	-881	-422	212	282	
60	98	72	-359	-589	-853	-485	177	259	
61	118	35	-337	-563	-819	-527	156	246	
62	105	-4	-313	-535	-776	-540	149	242	
63	104	-41	-287	-509	-731	-549	137	234	
64	89	-82	-248	-465	-674	-522	139	230	
65	88	-115	-208	-418	-606	-452	161	235	
66	109	-137	-187	-387	-555	-380	177	230	
67	107	-168	-173	-364	-505	-300	187	219	
68	98	-169	-142	-327	-435	-215	205	218	
69	89	-168	-119	-296	-375	-157	206	210	
70	83	-192	-102	-273	-328	-123	176	175	
71	79	-199	-77	-242	-275	-95	143	141	
72	67	-192	-55	-216	-224	-83	108	109	
73	60	-186	-39	-199	-188	-87	60	76	
74	49	-178	-28	-190	-162	-100	14	43	
75	45	-155	-8	-176	-127	-100	-19	14	
76	30	-140	6	-165	-99	-94	-42	-12	
77	9	-126	14	-161	-75	-85	-54	-30	
78	-1	-110	20	-158	-53	-72	-55	-41	
79	-5	-103	21	-157	-40	-69	-59	-49	
80	-7	-94	19	-159	-31	-68	-60	-52	
81	-15	-85	22	-156	-17	-62	-61	-57	
82	-20	-72	27	-154	3	-53	-60	-60	
83	-16	-55	35	-146	22	-38	-55	-62	
84	-21	-52	41	-143	33	-31	-56	-65	
85	-24	-53	45	-139	39	-28	-58	-71	
86	-30	-53	50	-137	44	-27	-60	-73	
87	-38	-48	57	-130	52	-21	-55	-69	
88	-32	-44	59	-130	53	-20	-53	-69	
89	-33	-62	50	-137	44	-30	-64	-79	
90	-43	-64	52	-135	50	-29	-61	-79	
91	-43	-59	57	-132	56	-27	-61	-79	
92	-28	-57	49	-140	54	-34	-70	-87	
93	-29	-60	48	-140	56	-35	-73	-90	
94	-29	-54	51	-138	58	-30	-71	-89	
95	-39	-52	53	-137	62	-25	-69	-89	
