samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	0	10	12	12	20	12	10	4	
1	0	14	10	12	22	14	12	4	
2	2	16	10	12	24	16	14	6	
3	4	18	8	12	26	18	16	8	
4	4	20	6	12	26	18	16	10	
5	6	22	4	12	28	20	18	10	
6	6	24	4	12	28	20	18	10	
7	8	24	2	12	28	20	18	12	
8	8	24	0	12	28	20	18	12	
9	10	24	-2	12	28	20	18	12	
10	10	24	-4	12	28	20	18	12	
11	12	22	-4	12	26	18	18	12	
12	12	22	-6	10	26	18	16	10	
13	14	20	-8	10	24	16	16	10	
14	14	18	-8	10	22	16	14	10	
15	16	18	-10	8	20	14	14	8	
16	16	18	-12	8	18	14	12	8	
17	16	18	-12	6	16	12	12	8	
18	18	18	-14	6	16	12	12	8	
19	18	18	-16	4	14	10	12	8	
20	18	18	-16	4	12	10	12	10	
21	18	18	-18	2	10	10	10	10	
22	20	18	-20	0	8	8	10	10	
23	20	18	-20	-2	6	8	10	10	
24	22	16	-22	-4	4	6	8	10	
25	22	16	-22	-6	0	4	8	10	
26	24	14	-24	-8	-2	2	6	8	
27	24	14	-24	-10	-4	0	4	8	
28	26	12	-24	-12	-6	-2	2	6	
29	26	10	-24	-12	-8	-4	0	4	
30	26	8	-24	-14	-10	-4	-2	4	
31	26	6	-22	-14	-10	-6	-2	2	
32	24	6	-22	-14	-10	-6	-4	0	
33	22	4	-20	-14	-10	-6	-4	0	
34	20	2	-18	-14	-10	-6	-4	0	
35	16	2	-14	-12	-8	-6	-4	-2	
36	14	0	-12	-10	-8	-4	-4	-2	
37	10	0	-8	-8	-6	-4	-2	-2	
38	6	-2	-6	-6	-4	-2	-2	-2	
39	4	-4	-2	-4	-4	-2	0	0	
40	0	-4	0	-2	-2	-2	0	0	
41	-4	-6	2	0	0	0	0	-2	
42	-6	-8	4	0	0	0	0	-2	
43	-10	-12	6	2	0	0	0	-2	
44	-12	-14	8	2	0	-2	0	-4	
45	-16	-16	10	2	0	-2	-2	-4	
46	-18	-18	10	2	0	-2	-2	-6	
47	-20	-20	12	2	0	-4	-4	-8	
48	-22	-22	12	2	0	-4	-6	-10	
49	-24	-24	14	0	-2	-6	-6	-10	
50	-26	-24	14	0	-2	-8	-8	-12	
51	-26	-26	14	0	-2	-8	-10	-12	
52	-26	-26	14	0	-4	-10	-10	-14	
53	-24	-28	16	0	-4	-10	-12	-14	
54	-24	-28	16	-2	-4	-12	-14	-14	
55	-22	-28	16	-2	-6	-12	-14	-16	
56	-20	-28	16	-2	-6	-14	-16	-16	
57	-18	-30	16	-2	-6	-14	-16	-16	
58	-18	-30	16	-2	-6	-16	-18	-16	
59	-16	-30	16	-2	-6	-16	-18	-16	
60	-16	-32	16	-4	-6	-16	-18	-16	
61	-16	-32	14	-4	-6	-18	-18	-18	
62	-16	-32	14	-4	-8	-18	-20	-18	
63	-16	-34	14	-4	-8	-18	-20	-18	
64	-18	-34	14	-4	-8	-18	-20	-20	
65	-20	-34	14	-4	-6	-18	-20	-20	
66	-22	-34	16	-4	-6	-18	-20	-20	
67	-22	-34	16	-4	-6	-18	-20	-20	
68	-24	-34	18	-2	-4	-18	-20	-22	
69	-26	-34	20	0	-4	-18	-20	-22	
70	-28	-34	22	2	-2	-16	-20	-22	
71	-30	-34	24	4	0	-16	-18	-24	
72	-30	-34	26	8	2	-14	-18	-24	
73	-32	-34	28	12	6	-12	-16	-24	
74	-32	-32	30	16	8	-8	-14	-22	
75	-30	-32	32	22	12	-4	-12	-22	
76	-26	-28	32	28	16	2	-8	-20	
77	-22	-24	30	34	18	8	-2	-16	
78	-14	-20	26	40	22	18	8	-10	
79	-2	-12	20	46	26	28	18	-2	
80	14	0	12	52	30	40	30	8	
81	32	12	2	58	34	54	46	22	
82	54	28	-10	62	36	68	62	38	
83	78	46	-24	64	38	84	80	54	
84	102	66	-40	64	40	98	98	74	
85	128	86	-54	62	42	112	116	94	
86	152	108	-70	58	40	126	132	116	
87	174	128	-86	50	38	136	146	136	
88	190	144	-98	38	34	140	158	152	
89	200	158	-108	22	30	142	162	166	
90	206	166	-116	2	22	138	162	176	
91	202	170	-120	-20	10	128	156	180	
92	192	166	-122	-46	-2	112	144	178	
93	176	158	-118	-72	-16	90	126	170	
94	152	142	-110	-100	-34	64	104	156	
95	124	120	-100	-126	-52	34	76	136	
96	94	96	-88	-152	-72	2	46	112	
97	62	66	-72	-172	-90	-32	16	84	
98	32	36	-56	-190	-108	-64	-16	54	
99	2	6	-38	-202	-126	-94	-44	26	
100	-24	-24	-20	-208	-140	-122	-70	-2	
101	-46	-52	-4	-208	-152	-144	-92	-28	
102	-64	-76	14	-204	-160	-160	-110	-52	
103	-76	-98	28	-194	-166	-172	-124	-70	
104	-84	-112	40	-180	-166	-178	-132	-84	
105	-88	-124	50	-162	-162	-178	-134	-94	
106	-88	-130	58	-144	-156	-174	-132	-98	
107	-86	-132	64	-124	-146	-164	-128	-100	
108	-82	-130	66	-104	-134	-152	-120	-98	
109	-76	-124	68	-84	-120	-138	-110	-94	
110	-70	-116	66	-68	-106	-122	-98	-88	
111	-64	-106	64	-52	-90	-106	-86	-80	
112	-58	-96	60	-40	-76	-90	-74	-70	
113	-52	-84	54	-28	-62	-74	-62	-62	
114	-46	-74	50	-20	-48	-62	-52	-54	
115	-40	-62	44	-14	-38	-50	-42	-46	
