samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	-8	-34	24	10	-12	-14	-18	-12	
1	-8	-36	26	10	-12	-16	-20	-14	
2	-10	-36	28	10	-14	-16	-20	-14	
3	-10	-38	28	10	-14	-18	-22	-16	
4	-12	-38	30	10	-14	-18	-22	-16	
5	-12	-40	30	10	-14	-18	-22	-16	
6	-12	-40	30	10	-14	-18	-22	-18	
7	-12	-40	32	12	-14	-18	-22	-18	
8	-14	-42	32	12	-14	-18	-22	-18	
9	-14	-42	32	12	-12	-18	-22	-18	
10	-14	-42	34	12	-12	-18	-22	-18	
11	-14	-42	34	14	-12	-18	-22	-18	
12	-14	-42	34	14	-12	-18	-22	-18	
13	-14	-40	34	14	-12	-18	-22	-16	
14	-14	-40	34	14	-12	-18	-22	-16	
15	-14	-40	34	14	-12	-18	-22	-16	
16	-14	-38	34	14	-12	-18	-22	-16	
17	-14	-38	34	14	-14	-18	-22	-16	
18	-14	-36	34	14	-14	-18	-22	-16	
19	-14	-36	34	14	-14	-18	-22	-16	
20	-14	-36	34	14	-14	-18	-22	-16	
21	-14	-36	34	14	-14	-18	-22	-14	
22	-14	-36	36	14	-14	-18	-22	-14	
23	-14	-36	36	14	-14	-18	-22	-14	
24	-14	-36	36	12	-14	-18	-20	-14	
25	-14	-36	36	12	-14	-18	-20	-12	
26	-16	-38	34	10	-14	-18	-20	-12	
27	-16	-38	34	10	-16	-20	-20	-12	
28	-16	-40	34	8	-16	-20	-22	-12	
29	-18	-42	34	8	-18	-20	-22	-12	
30	-18	-44	36	8	-18	-22	-24	-14	
31	-20	-46	36	10	-18	-24	-28	-16	
32	-22	-50	40	12	-18	-26	-30	-18	
33	-24	-52	42	16	-16	-26	-34	-22	
34	-24	-54	48	22	-12	-26	-36	-24	
35	-26	-56	54	30	-6	-24	-38	-28	
36	-26	-54	62	40	4	-20	-38	-30	
37	-26	-48	68	52	18	-14	-34	-30	
38	-24	-38	76	68	36	-2	-26	-28	
39	-20	-22	82	84	58	14	-14	-22	
40	-14	0	88	100	84	34	6	-12	
41	-4	28	90	116	112	62	30	4	
42	8	64	90	130	142	94	62	24	
43	22	104	86	142	174	130	98	50	
44	38	150	78	152	206	168	138	82	
45	56	200	68	156	234	208	182	118	
46	76	248	54	156	256	246	224	156	
47	94	294	36	152	272	280	266	196	
48	112	336	18	140	280	308	300	234	
49	128	368	-2	124	276	326	328	268	
50	140	390	-22	104	260	334	346	298	
51	150	400	-40	78	232	328	350	318	
52	154	398	-54	50	194	308	344	328	
53	154	382	-68	22	144	276	324	328	
54	148	352	-76	-8	88	234	294	318	
55	138	314	-82	-36	26	182	254	298	
56	124	266	-84	-62	-38	126	206	270	
57	108	214	-82	-84	-100	66	156	234	
58	90	158	-78	-102	-156	6	104	196	
59	70	104	-70	-114	-206	-48	54	154	
60	52	54	-62	-120	-244	-94	10	112	
61	36	10	-50	-120	-270	-132	-28	72	
62	20	-28	-40	-116	-284	-160	-60	38	
63	8	-58	-30	-106	-286	-176	-82	8	
64	-2	-80	-18	-92	-274	-182	-96	-16	
65	-10	-92	-8	-76	-256	-178	-102	-34	
66	-14	-100	2	-58	-228	-166	-102	-44	
67	-18	-100	10	-40	-196	-150	-98	-50	
68	-18	-96	18	-24	-162	-130	-88	-52	
69	-18	-90	24	-8	-130	-110	-78	-50	
70	-18	-82	30	4	-98	-90	-68	-46	
71	-18	-74	34	14	-70	-70	-58	-42	
72	-16	-64	36	22	-46	-54	-48	-36	
73	-16	-56	38	26	-28	-40	-40	-30	
74	-14	-50	40	30	-14	-30	-34	-26	
75	-14	-44	40	30	-6	-22	-30	-22	
76	-14	-40	38	28	0	-18	-26	-18	
77	-14	-36	38	28	4	-14	-24	-16	
78	-14	-34	36	24	6	-14	-24	-14	
79	-14	-32	36	22	6	-12	-24	-14	
80	-14	-30	34	20	4	-14	-24	-14	
81	-14	-30	32	18	4	-14	-24	-14	
82	-14	-30	32	16	2	-14	-24	-14	
83	-14	-30	30	16	2	-14	-22	-14	
84	-14	-28	30	16	2	-14	-22	-14	
85	-14	-30	30	16	0	-14	-22	-14	
86	-14	-30	30	14	0	-14	-22	-14	
87	-14	-30	28	14	2	-14	-22	-14	
88	-14	-30	28	16	2	-12	-22	-12	
89	-14	-30	28	16	2	-12	-22	-12	
90	-12	-30	28	16	2	-12	-22	-12	
91	-12	-30	28	16	4	-10	-22	-12	
92	-12	-28	28	16	4	-10	-20	-12	
93	-12	-28	28	16	6	-10	-20	-12	
94	-12	-28	28	16	6	-10	-20	-12	
95	-12	-28	28	16	6	-8	-20	-10	
96	-10	-28	28	16	8	-8	-20	-10	
97	-10	-28	26	16	8	-8	-18	-10	
98	-12	-26	26	16	10	-8	-18	-10	
99	-12	-26	26	16	10	-6	-18	-8	
100	-12	-26	26	16	12	-6	-16	-8	
101	-12	-26	26	16	12	-6	-16	-8	
102	-12	-26	26	16	12	-6	-16	-6	
103	-12	-26	26	16	14	-4	-14	-6	
104	-12	-24	26	16	14	-4	-14	-6	
105	-12	-24	26	18	14	-4	-14	-6	
106	-14	-24	26	18	16	-4	-14	-4	
107	-14	-24	24	18	16	-2	-14	-4	
108	-14	-24	24	20	16	-2	-12	-4	
109	-14	-24	24	20	18	-2	-12	-4	
110	-14	-24	24	20	18	-2	-12	-2	
111	-12	-24	24	22	18	-2	-12	-2	
112	-12	-24	24	22	20	-2	-12	-2	
113	-12	-22	24	22	20	0	-12	-2	
114	-12	-22	24	22	22	0	-10	-2	
115	-12	-22	24	22	22	0	-10	-2	
116	-10	-22	24	24	24	2	-10	-2	
117	-10	-22	24	24	26	2	-8	0	
118	-8	-22	24	24	28	2	-8	0	
119	-8	-22	24	24	28	4	-6	0	
120	-8	-20	24	24	30	6	-6	0	
121	-6	-20	22	26	32	6	-4	2	
122	-6	-20	22	26	34	8	-2	2	
123	-4	-18	22	26	36	10	-2	2	
124	-2	-16	22	28	38	12	0	4	
125	-2	-14	20	28	40	14	2	6	
126	0	-12	20	30	42	16	4	6	
127	2	-8	20	30	44	18	4	8	
128	4	-4	18	32	46	20	6	10	
129	4	-2	18	32	48	22	8	12	
130	6	2	16	34	50	24	10	12	
131	8	8	14	34	54	26	12	14	
132	10	12	14	36	56	30	16	16	
133	12	16	12	36	60	32	18	18	
134	14	22	10	38	62	36	22	20	
135	14	26	8	38	66	40	24	24	
136	16	32	8	40	70	44	28	26	
137	18	38	6	40	74	48	32	30	
138	20	42	4	42	78	52	38	32	
139	24	48	2	44	82	56	42	36	
140	26	54	0	44	88	62	48	40	
141	28	58	-4	46	92	66	52	46	
142	30	64	-6	48	96	72	58	50	
143	32	70	-8	48	102	76	64	56	
144	36	76	-10	50	106	82	68	60	
145	38	82	-12	50	110	86	74	66	
146	40	88	-14	52	116	92	80	72	
147	44	92	-18	54	120	96	86	78	
148	46	98	-20	54	124	100	90	82	
149	48	104	-22	56	128	106	96	88	
150	50	108	-24	56	132	110	100	92	
151	54	114	-26	56	134	112	106	98	
152	56	118	-28	58	138	116	110	102	
153	58	122	-30	58	140	120	114	106	
154	58	126	-32	58	142	122	118	110	
155	60	130	-34	58	144	126	120	114	
156	62	134	-36	58	146	128	124	118	
157	64	136	-38	58	148	130	126	120	
158	64	140	-40	56	148	130	128	122	
159	66	142	-40	56	150	132	130	124	
160	66	144	-42	54	150	132	130	126	
161	66	144	-42	54	148	132	132	128	
162	66	146	-44	52	148	132	132	128	
163	66	146	-44	50	148	132	132	128	
164	66	146	-44	48	146	130	130	128	
165	66	144	-44	48	144	128	128	128	
166	66	144	-44	46	142	126	126	126	
167	64	142	-44	44	138	124	124	126	
168	64	140	-44	42	134	122	122	124	
169	62	136	-42	40	132	118	118	120	
170	58	132	-40	40	128	114	114	118	
171	56	128	-40	38	122	110	110	114	
172	52	124	-38	36	118	106	106	110	
173	48	118	-36	34	112	100	100	106	
174	46	114	-34	32	108	96	94	102	
175	40	108	-32	30	102	90	88	98	
176	36	100	-28	26	96	84	82	92	
177	32	94	-26	24	90	78	76	86	
178	28	86	-24	22	84	72	70	82	
179	24	80	-22	20	78	66	62	76	
180	20	72	-20	18	70	60	56	70	
181	16	64	-18	16	64	54	50	64	
182	14	58	-16	12	58	48	44	58	
183	10	52	-14	10	52	42	38	54	
184	8	44	-12	8	46	36	32	48	
185	4	38	-10	6	40	30	26	42	
186	2	34	-10	4	36	26	22	36	
187	0	28	-8	2	30	20	16	32	
188	-2	22	-8	0	26	16	12	28	
189	-4	18	-6	-2	20	12	8	22	
190	-6	14	-4	-4	16	8	4	18	
191	-8	8	-4	-4	12	4	0	14	
192	-10	4	-2	-6	8	2	-4	10	
193	-12	0	-2	-8	6	-2	-6	6	
194	-12	-4	0	-8	2	-4	-10	2	
195	-14	-8	0	-8	0	-8	-12	0	
196	-14	-12	2	-10	-4	-10	-14	-4	
197	-16	-16	2	-10	-6	-12	-16	-6	
198	-16	-18	4	-10	-8	-14	-18	-8	
199	-16	-22	4	-10	-10	-14	-20	-10	
200	-16	-24	4	-10	-12	-16	-22	-12	
201	-18	-26	4	-12	-14	-18	-22	-12	
202	-18	-28	4	-12	-14	-20	-24	-14	
203	-18	-30	4	-12	-16	-20	-24	-14	
204	-18	-32	4	-12	-18	-22	-26	-16	
205	-18	-32	4	-12	-18	-22	-26	-16	
206	-18	-34	4	-12	-20	-24	-26	-18	
207	-18	-34	4	-12	-20	-26	-28	-18	
208	-18	-34	4	-12	-20	-26	-28	-18	
209	-18	-34	4	-12	-22	-28	-28	-20	
210	-20	-36	4	-12	-22	-28	-30	-20	
211	-20	-36	4	-12	-22	-28	-30	-20	
212	-20	-36	4	-12	-22	-30	-32	-20	
213	-20	-34	4	-12	-22	-30	-34	-22	
214	-20	-34	6	-12	-24	-30	-34	-22	
215	-20	-34	6	-14	-24	-30	-36	-22	
216	-20	-34	6	-14	-24	-30	-36	-22	
217	-20	-32	6	-14	-24	-30	-36	-22	
218	-20	-32	6	-14	-24	-30	-36	-22	
219	-20	-30	6	-14	-24	-30	-38	-22	
220	-20	-30	6	-14	-24	-30	-38	-20	
221	-20	-30	6	-14	-24	-30	-36	-20	
222	-20	-28	6	-14	-24	-30	-36	-20	
223	-20	-28	6	-14	-24	-30	-36	-20	
224	-20	-28	6	-14	-24	-30	-36	-20	
225	-20	-28	6	-14	-24	-30	-34	-20	
226	-20	-28	6	-14	-22	-30	-34	-18	
227	-20	-28	6	-14	-22	-30	-32	-18	
228	-20	-28	6	-12	-22	-30	-32	-18	
229	-20	-28	6	-12	-22	-30	-32	-18	
230	-22	-28	6	-12	-22	-30	-30	-18	
231	-20	-28	6	-12	-22	-28	-30	-18	
232	-20	-28	6	-12	-22	-28	-30	-18	
233	-20	-26	4	-14	-22	-28	-30	-18	
234	-20	-26	4	-14	-22	-28	-30	-18	
235	-20	-26	2	-16	-22	-28	-30	-18	
236	-20	-26	2	-18	-24	-28	-30	-18	
237	-20	-26	0	-18	-24	-28	-30	-18	
238	-20	-24	-2	-20	-26	-28	-28	-18	
239	-18	-24	-4	-24	-28	-28	-28	-18	
240	-18	-24	-6	-26	-28	-28	-28	-18	
241	-18	-24	-8	-28	-30	-30	-28	-18	
242	-18	-24	-12	-30	-32	-30	-30	-18	
243	-18	-24	-14	-32	-34	-30	-30	-18	
244	-18	-26	-16	-36	-36	-30	-30	-18	
245	-18	-26	-18	-38	-38	-32	-30	-18	
246	-18	-26	-20	-40	-40	-32	-30	-18	
247	-20	-26	-22	-40	-40	-32	-30	-20	
248	-20	-26	-24	-42	-42	-34	-30	-20	
249	-20	-28	-26	-44	-44	-34	-30	-20	
250	-20	-28	-26	-44	-44	-34	-32	-20	
251	-20	-28	-28	-44	-46	-36	-32	-22	
252	-20	-30	-28	-44	-46	-36	-32	-22	
253	-20	-30	-28	-44	-46	-36	-32	-22	
254	-20	-32	-28	-44	-46	-38	-34	-22	
255	-20	-32	-28	-44	-46	-38	-34	-22	
256	-20	-34	-28	-42	-46	-38	-34	-22	
257	-20	-34	-28	-42	-46	-38	-34	-22	
258	-20	-36	-26	-40	-46	-38	-36	-22	
259	-20	-36	-26	-40	-46	-40	-36	-22	
260	-20	-36	-26	-40	-46	-40	-36	-22	
261	-20	-36	-26	-38	-44	-40	-36	-22	
262	-20	-36	-24	-38	-44	-38	-36	-22	
263	-20	-34	-24	-38	-44	-38	-36	-22	
264	-20	-34	-24	-38	-44	-38	-34	-22	
265	-20	-32	-24	-38	-44	-38	-34	-20	
266	-18	-30	-24	-38	-44	-36	-34	-20	
267	-18	-28	-24	-38	-44	-36	-32	-20	
268	-18	-26	-24	-38	-44	-36	-32	-20	
269	-18	-24	-24	-38	-44	-36	-30	-18	
270	-18	-22	-24	-38	-44	-34	-30	-18	
271	-18	-20	-24	-38	-44	-34	-28	-18	
272	-18	-18	-24	-38	-44	-34	-28	-16	
273	-16	-16	-24	-38	-42	-32	-28	-16	
274	-16	-14	-24	-40	-42	-32	-26	-16	
275	-16	-12	-24	-40	-42	-32	-26	-14	
276	-16	-10	-24	-40	-42	-32	-26	-14	
277	-16	-10	-24	-40	-42	-32	-26	-14	
278	-14	-10	-24	-40	-42	-32	-26	-12	
279	-14	-12	-24	-40	-42	-34	-26	-12	
280	-12	-12	-24	-40	-44	-34	-26	-14	
281	-12	-14	-24	-40	-44	-34	-28	-14	
282	-10	-18	-24	-40	-44	-36	-30	-14	
283	-8	-20	-24	-38	-46	-38	-30	-16	
284	-6	-24	-22	-38	-46	-40	-32	-18	
285	-4	-26	-22	-36	-46	-40	-34	-18	
286	-2	-30	-22	-34	-46	-42	-34	-20	
287	0	-32	-20	-32	-46	-42	-36	-22	
288	2	-36	-18	-32	-46	-44	-36	-22	
289	2	-36	-18	-30	-46	-44	-36	-24	
290	4	-38	-16	-28	-44	-44	-38	-24	
291	6	-38	-14	-26	-44	-42	-36	-24	
292	6	-38	-12	-24	-42	-42	-36	-24	
293	6	-38	-10	-22	-40	-42	-36	-24	
294	4	-36	-8	-22	-38	-40	-36	-24	
295	4	-34	-4	-20	-36	-38	-34	-24	
296	2	-34	-2	-18	-36	-38	-34	-22	
297	0	-32	0	-18	-34	-36	-34	-22	
298	-2	-32	2	-16	-32	-36	-32	-22	
299	-4	-30	4	-16	-32	-36	-32	-22	
300	-6	-32	6	-14	-32	-34	-32	-22	
301	-8	-32	8	-14	-32	-36	-34	-22	
302	-10	-34	10	-12	-32	-36	-34	-22	
303	-12	-34	12	-12	-32	-36	-34	-24	
304	-14	-36	12	-12	-32	-36	-36	-24	
305	-16	-38	14	-10	-34	-38	-36	-26	
306	-18	-40	14	-10	-34	-38	-38	-28	
307	-18	-42	16	-10	-34	-40	-38	-28	
308	-20	-44	16	-10	-36	-40	-38	-30	
309	-20	-46	18	-8	-36	-42	-40	-30	
310	-20	-46	18	-8	-38	-42	-40	-32	
311	-20	-48	18	-8	-38	-42	-40	-32	
312	-20	-48	20	-8	-38	-42	-42	-34	
313	-20	-50	20	-8	-38	-44	-42	-34	
314	-20	-50	20	-8	-38	-44	-42	-34	
315	-20	-50	22	-8	-38	-44	-42	-34	
316	-20	-50	22	-8	-38	-44	-42	-34	
317	-20	-50	22	-6	-38	-42	-42	-34	
318	-20	-50	24	-6	-38	-42	-42	-34	
319	-22	-50	24	-6	-36	-42	-42	-34	
320	-22	-50	24	-6	-36	-42	-42	-34	
321	-22	-50	24	-4	-36	-42	-42	-34	
322	-22	-50	26	-4	-36	-40	-40	-36	
323	-22	-50	26	-4	-34	-40	-40	-36	
324	-24	-50	26	-4	-34	-40	-40	-36	
325	-24	-52	26	-4	-34	-40	-40	-36	
326	-24	-52	26	-2	-34	-40	-40	-36	
327	-24	-52	26	-2	-34	-38	-40	-36	
328	-26	-52	26	-2	-34	-38	-40	-36	
329	-26	-52	26	-4	-34	-38	-40	-38	
330	-26	-52	24	-4	-34	-38	-40	-38	
331	-26	-52	24	-4	-34	-38	-40	-38	
332	-26	-52	24	-6	-36	-38	-38	-38	
333	-26	-52	24	-6	-36	-38	-38	-36	
334	-26	-52	22	-8	-38	-40	-38	-36	
335	-26	-54	22	-10	-38	-40	-38	-36	
336	-26	-54	22	-10	-40	-42	-40	-36	
337	-28	-56	22	-12	-42	-42	-40	-38	
338	-28	-58	24	-10	-42	-44	-42	-38	
339	-30	-60	26	-10	-42	-46	-46	-40	
340	-32	-62	30	-6	-40	-48	-48	-42	
341	-34	-64	36	0	-36	-50	-50	-44	
342	-34	-66	42	6	-30	-48	-52	-46	
343	-36	-64	48	16	-20	-46	-52	-48	
344	-36	-60	56	28	-8	-40	-50	-50	
345	-34	-50	64	44	10	-30	-44	-48	
346	-32	-36	72	60	30	-14	-32	-42	
347	-26	-16	78	76	54	6	-16	-34	
348	-18	12	82	94	84	32	8	-20	
349	-8	46	82	110	114	62	36	0	
350	6	86	80	124	146	98	70	26	
351	22	132	74	136	178	136	110	56	
352	40	180	66	142	208	176	152	90	
353	60	228	52	146	234	216	194	128	
354	80	276	38	142	252	252	236	168	
355	98	318	20	134	264	280	272	206	
