samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	-15	-10	30	-25	-10	-135	-30	-10	
1	-15	-10	30	-25	-10	-135	-30	-5	
2	-15	-10	30	-25	-10	-140	-30	-5	
3	-15	-10	25	-25	-10	-140	-30	-5	
4	-15	-10	25	-25	-10	-140	-35	-10	
5	-15	-10	25	-25	-10	-140	-35	-10	
6	-15	-10	25	-25	-10	-140	-35	-10	
7	-15	-10	25	-25	-10	-145	-35	-10	
8	-15	-10	25	-25	-10	-145	-35	-15	
9	-15	-5	25	-25	-10	-145	-35	-15	
10	-15	-5	25	-25	-10	-145	-35	-20	
11	-20	-5	25	-25	-10	-145	-35	-20	
12	-20	-5	25	-25	-10	-145	-35	-25	
13	-20	-5	25	-25	-10	-145	-35	-25	
14	-20	-5	25	-20	-10	-145	-35	-25	
15	-20	-10	25	-20	-10	-140	-35	-30	
16	-20	-10	30	-20	-10	-140	-35	-30	
17	-20	-15	30	-20	-10	-140	-35	-30	
18	-20	-15	30	-20	-10	-140	-40	-35	
19	-20	-20	30	-20	-10	-140	-40	-35	
20	-20	-25	30	-15	-10	-145	-45	-35	
21	-20	-30	30	-15	-10	-145	-45	-35	
22	-20	-35	30	-15	-10	-145	-50	-40	
23	-20	-35	30	-15	-10	-145	-50	-40	
24	-20	-40	30	-20	-10	-145	-50	-40	
25	-20	-40	30	-20	-10	-150	-50	-45	
26	-20	-40	30	-20	-10	-150	-50	-45	
27	-20	-40	30	-20	-10	-150	-50	-45	
28	-20	-40	30	-20	-10	-150	-50	-45	
29	-20	-35	30	-20	-10	-150	-50	-45	
30	-20	-35	30	-20	-10	-150	-50	-45	
31	-20	-30	30	-20	-10	-150	-45	-40	
32	-20	-25	30	-20	-5	-145	-45	-40	
33	-20	-25	35	-20	-5	-145	-40	-35	
34	-15	-20	35	-20	-5	-145	-40	-35	
35	-15	-15	35	-15	0	-145	-35	-30	
36	-15	-15	35	-15	0	-145	-35	-25	
37	-15	-15	35	-15	0	-140	-35	-25	
38	-15	-15	35	-15	0	-140	-30	-20	
39	-15	-15	30	-15	0	-140	-30	-20	
40	-15	-15	30	-15	0	-140	-30	-15	
41	-15	-15	30	-15	5	-140	-25	-15	
42	-15	-15	30	-15	5	-135	-25	-10	
43	-15	-15	30	-15	5	-135	-25	-10	
44	-15	-20	30	-15	5	-135	-25	-10	
45	-15	-20	30	-15	5	-135	-20	-10	
46	-15	-15	30	-15	5	-135	-20	-5	
47	-15	-15	30	-15	5	-135	-20	-5	
48	-15	-15	25	-15	5	-135	-25	-5	
49	-15	-15	30	-15	10	-140	-25	-5	
50	-20	-10	30	-15	10	-140	-30	-10	
51	-20	-10	30	-15	10	-145	-35	-10	
52	-20	-5	30	-10	15	-150	-40	-15	
53	-20	-5	30	-10	20	-160	-50	-15	
54	-25	-5	35	-5	25	-165	-60	-20	
55	-25	-5	40	-5	30	-170	-70	-30	
56	-30	-5	40	0	40	-175	-80	-35	
57	-35	-10	45	0	50	-170	-90	-45	
58	-40	-10	50	5	60	-165	-95	-55	
59	-45	-15	50	5	70	-145	-95	-60	
60	-45	-15	55	10	85	-110	-90	-70	
61	-50	-20	60	15	100	-60	-70	-75	
62	-50	-20	60	15	120	5	-35	-75	
63	-45	-20	60	20	140	95	10	-70	
64	-40	-20	60	25	160	205	75	-60	
65	-35	-20	55	30	180	330	155	-45	
66	-20	-15	50	35	195	465	245	-25	
67	-10	-5	40	35	200	610	350	5	
68	10	5	25	35	190	750	460	40	
69	30	15	10	25	170	870	570	80	
70	50	30	-10	10	125	970	675	130	
71	75	40	-30	-20	55	1030	770	175	
72	95	55	-60	-60	-40	1040	840	225	
73	115	65	-85	-115	-160	1005	885	270	
74	135	75	-115	-185	-305	910	900	310	
75	150	80	-150	-265	-475	755	875	340	
76	160	80	-180	-355	-665	555	820	360	
77	165	75	-210	-455	-860	310	730	370	
78	170	70	-245	-560	-1065	35	610	370	
79	165	55	-270	-665	-1260	-260	470	355	
80	155	35	-295	-765	-1445	-555	310	325	
81	145	10	-320	-855	-1605	-835	140	290	
82	130	-15	-335	-935	-1740	-1090	-30	240	
83	115	-45	-350	-1000	-1840	-1310	-190	185	
84	100	-75	-360	-1045	-1910	-1485	-335	130	
85	85	-105	-365	-1075	-1940	-1610	-465	70	
86	75	-135	-365	-1080	-1930	-1690	-565	15	
87	60	-160	-365	-1070	-1895	-1720	-645	-35	
88	50	-180	-360	-1045	-1825	-1705	-695	-85	
89	45	-195	-350	-1000	-1730	-1660	-725	-120	
90	35	-210	-335	-945	-1615	-1580	-730	-150	
91	35	-215	-320	-875	-1485	-1480	-715	-170	
92	30	-210	-300	-800	-1345	-1365	-685	-185	
93	25	-205	-275	-720	-1195	-1240	-640	-190	
94	25	-195	-250	-635	-1050	-1110	-590	-190	
95	20	-180	-220	-550	-900	-980	-535	-180	
96	20	-160	-190	-465	-760	-855	-475	-170	
97	15	-140	-160	-385	-620	-740	-415	-160	
98	10	-120	-130	-310	-495	-625	-355	-145	
99	5	-100	-100	-240	-380	-525	-305	-135	
100	5	-80	-75	-175	-275	-435	-255	-120	
101	0	-60	-50	-120	-185	-355	-210	-110	
102	-5	-45	-25	-70	-105	-285	-170	-95	
103	-10	-30	-5	-30	-40	-225	-140	-90	
104	-10	-20	10	0	10	-180	-110	-80	
105	-15	-10	25	20	55	-140	-90	-70	
106	-15	-5	35	40	85	-110	-75	-65	
107	-15	0	45	50	105	-90	-60	-60	
108	-20	5	50	60	120	-75	-50	-55	
109	-20	5	55	60	130	-65	-45	-50	
110	-20	5	55	65	135	-60	-40	-45	
111	-20	0	55	65	135	-60	-35	-45	
112	-20	0	55	60	135	-55	-35	-40	
113	-20	-5	55	60	135	-55	-35	-35	
114	-20	-5	55	60	135	-55	-30	-35	
115	-25	-5	55	60	135	-55	-30	-30	
116	-25	-10	55	60	135	-55	-30	-30	
117	-25	-10	50	60	135	-55	-25	-25	
118	-25	-10	50	60	130	-55	-25	-25	
119	-25	-15	50	65	130	-55	-25	-25	
120	-25	-15	50	65	130	-55	-30	-25	
121	-25	-15	50	65	130	-55	-30	-25	
122	-25	-15	50	65	130	-55	-30	-30	
123	-25	-15	45	65	130	-55	-35	-30	
124	-25	-15	45	65	130	-55	-35	-35	
125	-25	-10	45	65	130	-60	-40	-35	
126	-30	-10	45	65	130	-60	-45	-40	
