samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	-40	35	40	10	40	50	45	25	
1	-40	35	40	10	40	50	45	25	
2	-40	35	40	5	35	50	45	25	
3	-40	35	35	5	35	50	45	25	
4	-40	35	35	5	35	50	45	25	
5	-40	35	35	5	35	50	40	25	
6	-40	30	35	0	35	50	40	25	
7	-40	30	35	0	35	50	40	25	
8	-45	30	35	0	35	50	40	25	
9	-45	30	35	-5	30	45	40	25	
10	-45	30	35	-5	30	45	40	25	
11	-45	30	35	-10	30	45	40	25	
12	-45	30	35	-10	30	45	40	25	
13	-45	30	35	-15	30	40	40	25	
14	-45	30	35	-15	25	40	40	20	
15	-45	30	35	-15	25	40	40	20	
16	-45	25	35	-20	25	40	40	20	
17	-45	25	35	-20	25	35	35	20	
18	-45	25	35	-20	25	35	35	20	
19	-45	25	35	-25	25	35	35	20	
20	-50	25	35	-25	25	35	35	20	
21	-50	25	35	-25	25	35	35	20	
22	-50	25	35	-25	25	35	35	15	
23	-50	25	35	-30	25	35	35	15	
24	-50	25	30	-30	20	35	30	15	
25	-50	25	30	-30	20	35	30	15	
26	-50	25	30	-35	20	35	30	15	
27	-50	25	30	-35	20	35	30	15	
28	-50	25	30	-35	20	35	25	15	
29	-50	25	30	-35	20	30	25	15	
30	-50	25	30	-35	20	30	25	15	
31	-50	25	30	-40	15	30	25	15	
32	-50	25	30	-40	15	30	25	15	
33	-50	25	30	-40	15	30	25	15	
34	-50	25	30	-40	15	25	25	15	
35	-50	20	25	-40	10	25	25	15	
36	-50	20	25	-40	10	25	25	10	
37	-50	20	25	-45	10	25	25	10	
38	-50	15	25	-45	10	20	20	10	
39	-50	15	20	-45	5	20	20	10	
40	-50	15	20	-45	5	20	20	10	
41	-50	15	20	-45	5	20	20	10	
42	-50	15	20	-50	5	15	20	10	
43	-50	15	15	-50	0	15	20	5	
44	-50	15	15	-50	0	15	20	5	
45	-45	15	15	-50	0	15	20	5	
46	-45	15	15	-50	0	15	20	5	
47	-45	15	15	-50	0	15	20	5	
48	-45	20	15	-50	0	15	20	5	
49	-40	20	15	-50	0	15	20	5	
50	-40	20	15	-50	0	15	20	5	
51	-40	20	15	-50	0	20	20	5	
52	-40	20	15	-50	0	20	20	5	
53	-40	20	15	-50	0	20	20	5	
54	-40	20	15	-50	0	20	20	10	
55	-40	20	15	-50	0	20	20	10	
56	-40	15	15	-50	0	20	20	10	
57	-40	15	15	-50	0	25	20	10	
58	-35	15	15	-50	0	25	20	10	
59	-35	15	15	-50	5	20	20	10	
60	-35	15	15	-55	5	20	15	10	
61	-35	15	15	-55	5	20	15	10	
62	-35	15	15	-55	5	20	15	10	
63	-35	15	15	-55	5	20	15	10	
64	-35	15	15	-55	5	15	15	10	
65	-35	15	15	-60	0	15	15	10	
66	-35	20	15	-60	0	15	15	10	
67	-35	20	15	-60	0	15	15	10	
68	-35	20	15	-60	0	15	15	10	
69	-40	20	15	-60	0	15	15	10	
70	-40	20	15	-60	0	10	15	5	
71	-40	20	15	-60	0	10	15	5	
72	-40	15	15	-60	0	15	15	5	
73	-40	15	15	-60	0	15	15	5	
74	-40	15	15	-60	0	15	15	5	
75	-40	15	15	-60	0	15	15	5	
76	-40	15	15	-60	0	15	20	10	
77	-40	15	15	-60	0	15	20	10	
78	-40	15	15	-60	0	15	20	10	
79	-40	15	15	-60	5	20	20	10	
80	-40	15	15	-60	5	20	20	10	
81	-40	15	15	-60	5	20	20	10	
82	-40	15	15	-60	5	20	20	10	
83	-40	15	15	-60	5	20	20	10	
84	-40	15	15	-60	5	20	20	10	
85	-45	15	15	-60	5	20	20	10	
86	-45	15	15	-55	5	20	20	10	
87	-45	15	15	-55	5	15	20	10	
88	-45	15	15	-55	5	15	20	10	
